YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,SCORE
2017,2018,1970,TCHC,24,Scarborough-Guildwood,3945 LAWRENCE AVE E,3,20,61
2017,2018,1956,PRIVATE,03,Etobicoke-Lakeshore,2 KINSDALE BLVD,4,45,62
2017,2018,1969,TCHC,20,Scarborough Southwest,675 KENNEDY RD,11,192,68
2017,2018,1970,TCHC,24,Scarborough-Guildwood,3947 LAWRENCE AVE E,19,238,72
2017,2018,1957,TCHC,08,Eglinton-Lawrence,1 REPLIN RD,3,31,68
2017,2018,1963,PRIVATE,02,Etobicoke Centre,1141 ROYAL YORK RD,10,91,73
2017,2018,1957,TCHC,08,Eglinton-Lawrence,4 REPLIN RD,4,30,68
2017,2018,1965,PRIVATE,07,Humber River-Black Creek,50 PEARLDALE AVE,7,96,66
2018,2018,1944,PRIVATE,04,Parkdale-High Park,2561 BLOOR ST W,4,34,66
2017,2018,1940,PRIVATE,03,Etobicoke-Lakeshore,2655 BLOOR ST W,5,45,68
2017,2018,1952,PRIVATE,03,Etobicoke-Lakeshore,164 BERRY RD,3,27,61
2017,2018,1955,PRIVATE,05,York South-Weston,2641 KEELE ST,3,21,65
2017,2018,1957,TCHC,08,Eglinton-Lawrence,3 OLD MEADOW LANE,4,30,68
2017,2018,1962,PRIVATE,11,University-Rosedale,153 ST GEORGE ST,7,48,79
2017,2018,1952,PRIVATE,11,University-Rosedale,151 ST GEORGE ST,7,48,73
2017,2018,1960,TCHC,19,Beaches-East York,133 MERRILL AVE E,3,42,78
2017,2018,1972,PRIVATE,24,Scarborough-Guildwood,3700 LAWRENCE AVE E,11,105,83
2018,2018,1963,PRIVATE,21,Scarborough Centre,25 TRUDELLE ST,6,66,59
2018,2018,1963,PRIVATE,21,Scarborough Centre,35 TRUDELLE ST,6,84,62
2018,2018,1963,PRIVATE,21,Scarborough Centre,45 TRUDELLE ST,6,66,60
2017,2018,1960,PRIVATE,08,Eglinton-Lawrence,93 NEPTUNE DR,3,10,75
2017,2018,1974,PRIVATE,08,Eglinton-Lawrence,125 NEPTUNE DR,15,171,74
2017,2018,1980,SOCIAL HOUSING,10,Spadina-Fort York,5 HAHN PL,4,32,80
2017,2018,1980,SOCIAL HOUSING,10,Spadina-Fort York,33 HAHN PL,8,135,83
2017,2018,1967,TCHC,19,Beaches-East York,2287 GERRARD ST E,5,38,69
